INPUT:text	OUTPUT:complexity	GOLDEN:complexity	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status
(125:4) Возврати, Господи, <mark>пленников</mark> наших, как потоки на полдень.	3				https://toloka.yandex.ru/task/28536910/0001b3704e--6162039a841e6365da3ebbbd	79bd7238-bf36-4b09-8ee8-fe22427ca409	0001b3704e--6162039a841e6365da3ebbbd	5fe8bf1c6f6bad8dc1e1d63582ae3839	APPROVED
Никто, зажегши <mark>свечу</mark>, не покрывает ее сосудом, или не ставит под кровать, а ставит на подсвечник, чтобы входящие видели свет.	1				https://toloka.yandex.ru/task/28536910/0001b3704e--6162039a841e6365da3ebbbd	0227847d-b79e-4e57-93df-e6fbad18a1c6	0001b3704e--6162039a841e6365da3ebbbd	5fe8bf1c6f6bad8dc1e1d63582ae3839	APPROVED
Ждали довольно долго, но видя, что никто не отпирает дверей горницы, взяли <mark>ключ</mark> и отперли, и вот, господин их лежит на земле мертвый.	1				https://toloka.yandex.ru/task/28536910/0001b3704e--6162039a841e6365da3ebbbd	dc81b2e6-e2d7-4bd6-869d-4bff27c546fa	0001b3704e--6162039a841e6365da3ebbbd	5fe8bf1c6f6bad8dc1e1d63582ae3839	APPROVED
И он более и более расширялся кругом вверх боковыми <mark>комнатами</mark>, потому что окружность храма восходила выше и выше вокруг храма, и потому храм имел большую ширину вверху, и из нижнего этажа восходили в верхний через средний.	1				https://toloka.yandex.ru/task/28536910/0001b3704e--6162039a841e6365da3ebbbd	da2c6e7e-7abd-4bd8-ba69-18859eb51ff3	0001b3704e--6162039a841e6365da3ebbbd	5fe8bf1c6f6bad8dc1e1d63582ae3839	APPROVED
<mark>кротость</mark>, воздержание. На таковых нет закона.	3				https://toloka.yandex.ru/task/28536910/0001b3704e--6162039a841e6365da3ebbbd	496d459e-1cb3-48e5-bd9a-92497864fbac	0001b3704e--6162039a841e6365da3ebbbd	5fe8bf1c6f6bad8dc1e1d63582ae3839	APPROVED
Земля же в семь лет <mark>изобилия</mark> приносила из зерна по горсти.	3				https://toloka.yandex.ru/task/28536910/0001b3704e--6162039a841e6365da3ebbbd	1f01c62d-6f47-4198-aca0-4c52b11e838d	0001b3704e--6162039a841e6365da3ebbbd	5fe8bf1c6f6bad8dc1e1d63582ae3839	APPROVED
Без <mark>откровения</mark> свыше народ необуздан, а соблюдающий закон блажен.	3				https://toloka.yandex.ru/task/28536910/0001b3704e--6162039a841e6365da3ebbbd	fbb7cc1d-bd51-486a-9083-a6a58cc94584	0001b3704e--6162039a841e6365da3ebbbd	5fe8bf1c6f6bad8dc1e1d63582ae3839	APPROVED
Если кто из неверных позовет вас, и вы захотите пойти, то все, предлагаемое вам, ешьте без всякого исследования, для спокойствия <mark>совести</mark>.	2				https://toloka.yandex.ru/task/28536910/0001b3704e--6162039a841e6365da3ebbbd	ca2caa50-c7da-4e4f-b9da-a58d92a8cc69	0001b3704e--6162039a841e6365da3ebbbd	5fe8bf1c6f6bad8dc1e1d63582ae3839	APPROVED
И иных Бог поставил в Церкви, во-первых, Апостолами,во-вторых, пророками, в-третьих, учителями; далее, иным дал силы чудодейственные, также дары исцелений, вспоможения, <mark>управления</mark>, разные языки.	3				https://toloka.yandex.ru/task/28536910/0001b3704e--6162039a841e6365da3ebbbd	f16a81d5-4c8d-4819-978b-4ea51d6a8b73	0001b3704e--6162039a841e6365da3ebbbd	5fe8bf1c6f6bad8dc1e1d63582ae3839	APPROVED
князья твои – законопреступники и <mark>сообщники</mark> воров; все они любят подарки и гоняются за мздою; не защищают сироты, и дело вдовы не доходит до них.	2				https://toloka.yandex.ru/task/28536910/0001b3704e--6162039a841e6365da3ebbbd	52285a7a-3583-4642-9e25-3f51a941fc41	0001b3704e--6162039a841e6365da3ebbbd	5fe8bf1c6f6bad8dc1e1d63582ae3839	APPROVED
