INPUT:text	OUTPUT:complexity	GOLDEN:complexity	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status
Приобретение сокровища лживым языком – мимолетное <mark>дуновение</mark> ищущих смерти.	4				https://toloka.yandex.ru/task/28579266/0001b415c2--61644e2309ba607522a8b6e5	5299e244-49f9-4590-bd69-ac3ac49b198c	0001b415c2--61644e2309ba607522a8b6e5	5e1ece9594ba80dffba2ac8b08e50e34	APPROVED
и послал <mark>вестников</mark> пред лицем Своим; и они пошли и вошли в селение Самарянское; чтобы приготовить для Него;	1				https://toloka.yandex.ru/task/28579266/0001b415c2--61644e2309ba607522a8b6e5	d0a63052-abd1-489d-a027-2e3f121a6da0	0001b415c2--61644e2309ba607522a8b6e5	5e1ece9594ba80dffba2ac8b08e50e34	APPROVED
Тогда вы будете считать скверною <mark>оклад</mark> идолов из серебра твоего и оклад истуканов из золота твоего; ты бросишь их, как нечистоту; ты скажешь им: прочь отсюда.	1				https://toloka.yandex.ru/task/28579266/0001b415c2--61644e2309ba607522a8b6e5	904c1caf-6af6-46a3-8206-7ecaba424fb1	0001b415c2--61644e2309ba607522a8b6e5	5e1ece9594ba80dffba2ac8b08e50e34	APPROVED
Когда священники вышли из святилища, ибо все священники, находившиеся там, освятились без различия <mark>отделов</mark>;	1				https://toloka.yandex.ru/task/28579266/0001b415c2--61644e2309ba607522a8b6e5	578606e8-fd4e-485f-b640-071378d7fa33	0001b415c2--61644e2309ba607522a8b6e5	5e1ece9594ba80dffba2ac8b08e50e34	APPROVED
Итак что же, братия? Когда вы сходитесь, и у каждого из вас есть псалом, есть поучение, есть язык, есть откровение, есть <mark>истолкование</mark>, – все сие да будет к назиданию.	1				https://toloka.yandex.ru/task/28579266/0001b415c2--61644e2309ba607522a8b6e5	05a56168-9ded-4d05-b725-b26e90e0ef28	0001b415c2--61644e2309ba607522a8b6e5	5e1ece9594ba80dffba2ac8b08e50e34	APPROVED
и поставь <mark>преграду</mark> в гортани твоей, если ты алчен.	1				https://toloka.yandex.ru/task/28579266/0001b415c2--61644e2309ba607522a8b6e5	7fa182a8-2e70-44d5-8a0d-714961179326	0001b415c2--61644e2309ba607522a8b6e5	5e1ece9594ba80dffba2ac8b08e50e34	APPROVED
и придет, как прохожий, <mark>бедность</mark> твоя, и нужда твоя – как человек вооруженный'.	1				https://toloka.yandex.ru/task/28579266/0001b415c2--61644e2309ba607522a8b6e5	9c7d208d-d209-4c62-8ab9-adafdcc8a2dd	0001b415c2--61644e2309ba607522a8b6e5	5e1ece9594ba80dffba2ac8b08e50e34	APPROVED
Но Господь сказал Самуилу: не смотри на вид его и на высоту <mark>роста</mark> его; Я отринул его; Я смотрю не так, как смотрит человек; ибо человек смотрит на лице, а Господь смотрит на сердце.	1				https://toloka.yandex.ru/task/28579266/0001b415c2--61644e2309ba607522a8b6e5	a12c40aa-ebda-4fb2-9eb8-c99c4e8b29d0	0001b415c2--61644e2309ba607522a8b6e5	5e1ece9594ba80dffba2ac8b08e50e34	APPROVED
возьми себе самых лучших благовонных веществ: смирны самоточной пятьсот сиклей, <mark>корицы</mark> благовонной половину против того, двести пятьдесят, тростника благовонного двести пятьдесят,	1				https://toloka.yandex.ru/task/28579266/0001b415c2--61644e2309ba607522a8b6e5	3d5f70b0-afa0-43fa-82e6-83a4be78ff4a	0001b415c2--61644e2309ba607522a8b6e5	5e1ece9594ba80dffba2ac8b08e50e34	APPROVED
И он открыл ей все сердце свое, и сказал ей: <mark>бритва</mark> не касалась головы моей, ибо я назорей Божий от чрева матери моей; если же остричь меня, то отступит от меня сила моя; я сделаюсь слаб и буду, как прочие люди.	1				https://toloka.yandex.ru/task/28579266/0001b415c2--61644e2309ba607522a8b6e5	3658e80f-31a6-4a7d-a46c-57c0b0215bb5	0001b415c2--61644e2309ba607522a8b6e5	5e1ece9594ba80dffba2ac8b08e50e34	APPROVED
									
Пилат же написал и <mark>надпись</mark>, и поставил на кресте. Написано было: Иисус Назорей, Царь Иудейский.	2				https://toloka.yandex.ru/task/28579266/0001b415c2--61644e233bceb83b320a3afd	b79673c9-6e58-4dd6-9f8e-e0f6e8c8eff0	0001b415c2--61644e233bceb83b320a3afd	b79d69964e6cf14d0c1217f184c4aaf9	APPROVED
а на стебле светильника должны быть четыре чашечки наподобие миндального цветка с яблоками и <mark>цветами</mark>;	1				https://toloka.yandex.ru/task/28579266/0001b415c2--61644e233bceb83b320a3afd	6136b79c-e5ee-40df-b645-08fb7e44329c	0001b415c2--61644e233bceb83b320a3afd	b79d69964e6cf14d0c1217f184c4aaf9	APPROVED
Ибо многие обольстители вошли в мир, не исповедующие Иисуса Христа, пришедшего во плоти: такой человек есть обольститель и <mark>антихрист</mark>.	4				https://toloka.yandex.ru/task/28579266/0001b415c2--61644e233bceb83b320a3afd	81602322-e108-48f7-ac2f-9b1179480d1e	0001b415c2--61644e233bceb83b320a3afd	b79d69964e6cf14d0c1217f184c4aaf9	APPROVED
