INPUT:text	OUTPUT:complexity	GOLDEN:complexity	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status
будучи помрачены в разуме, отчуждены от жизни Божией, по причине их невежества и <mark>ожесточения</mark> сердца их.	1				https://toloka.yandex.ru/task/28558836/0001b3c5f4--616343dee0571d411fd2fbeb	c1970049-2763-4766-92b6-4aa234221491	0001b3c5f4--616343dee0571d411fd2fbeb	840961317814adeb9891bc7698d625a8	APPROVED
правду говорят дочери Салпаадовы; дай им наследственный удел среди братьев отца их и передай им <mark>удел</mark> отца их;	1				https://toloka.yandex.ru/task/28558836/0001b3c5f4--616343dee0571d411fd2fbeb	902dd4ab-1f43-4127-bb6f-ccb2fbbb14e8	0001b3c5f4--616343dee0571d411fd2fbeb	840961317814adeb9891bc7698d625a8	APPROVED
И ныне пусть выслушает господин мой, царь, слова <mark>раба</mark> своего: если Господь возбудил тебя против меня, то да будет это от тебя благовонною жертвою; если же - сыны человеческие, то прокляты они пред Господом, ибо они изгнали меня ныне, чтобы не принадлежать мне к наследию Господа, говоря: „ступай, служи богам чужим'.	1				https://toloka.yandex.ru/task/28558836/0001b3c5f4--616343dee0571d411fd2fbeb	d0919cf4-71ec-431d-a473-8801d08a42db	0001b3c5f4--616343dee0571d411fd2fbeb	840961317814adeb9891bc7698d625a8	APPROVED
князей лишает <mark>достоинства</mark> и низвергает храбрых;	3				https://toloka.yandex.ru/task/28558836/0001b3c5f4--616343dee0571d411fd2fbeb	419438ae-9f8e-4e97-9e98-b004b0ff5568	0001b3c5f4--616343dee0571d411fd2fbeb	840961317814adeb9891bc7698d625a8	APPROVED
Я говорил тебе во время <mark>благоденствия</mark> твоего; но ты сказал: „не послушаю'. Таково было поведение твое с самой юности твоей, что ты не слушал гласа Моего.	2				https://toloka.yandex.ru/task/28558836/0001b3c5f4--616343dee0571d411fd2fbeb	9d33fe72-cac1-4af8-a3ba-80674e1a8094	0001b3c5f4--616343dee0571d411fd2fbeb	840961317814adeb9891bc7698d625a8	APPROVED
когда увидят ваше чистое, богобоязненное <mark>житие</mark>.	2				https://toloka.yandex.ru/task/28558836/0001b3c5f4--616343dee0571d411fd2fbeb	c064a12d-033f-46c2-9957-582cd4e15cdf	0001b3c5f4--616343dee0571d411fd2fbeb	840961317814adeb9891bc7698d625a8	APPROVED
Един <mark>Законодатель</mark> и Судия, могущий спасти и погубить; а ты кто, который судишь другого?	2				https://toloka.yandex.ru/task/28558836/0001b3c5f4--616343dee0571d411fd2fbeb	a2ba9477-8fec-46c2-ae4c-5c4e2652f8fe	0001b3c5f4--616343dee0571d411fd2fbeb	840961317814adeb9891bc7698d625a8	APPROVED
И принесли ей <mark>владельцы</mark> Филистимские семь сырых тетив, которые не засохли, и она связала его ими.	2				https://toloka.yandex.ru/task/28558836/0001b3c5f4--616343dee0571d411fd2fbeb	16baa4a3-023d-4518-9532-b02d29b1bcff	0001b3c5f4--616343dee0571d411fd2fbeb	840961317814adeb9891bc7698d625a8	APPROVED
Бесы, выйдя из человека, вошли в свиней, и бросилось стадо с <mark>крутизны</mark> в озеро и потонуло.	2				https://toloka.yandex.ru/task/28558836/0001b3c5f4--616343dee0571d411fd2fbeb	cd274e6a-c9ab-4f07-9d46-8abe055c20ef	0001b3c5f4--616343dee0571d411fd2fbeb	840961317814adeb9891bc7698d625a8	APPROVED
(117:19) Отворите мне <mark>врата</mark> правды; войду в них, прославлю Господа.	2				https://toloka.yandex.ru/task/28558836/0001b3c5f4--616343dee0571d411fd2fbeb	3118de61-23b4-4232-a6e8-367ae932f384	0001b3c5f4--616343dee0571d411fd2fbeb	840961317814adeb9891bc7698d625a8	APPROVED
